dataset,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_max_features,param_n_estimators
uci,Decision Tree,0.031479406356811526,0.0020457826038318794,0.0062272071838378905,0.0006366858658190984,,,1.0,2,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.03588876724243164,0.004902928209089525,0.005749702453613281,0.0002960198395637953,,,1.0,5,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.030623388290405274,0.0013283325164919976,0.0060595512390136715,0.00047546428935499877,,,1.0,10,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.027021169662475586,0.000782664059925889,0.006170225143432617,0.0005701370516634879,,,2.0,2,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.02859659194946289,0.00044006870681833027,0.0059300422668457035,0.0003016220091914667,,,2.0,5,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.027091264724731445,0.0008753764420262074,0.006199884414672852,0.000636002541582956,,,2.0,10,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.026021575927734374,0.0006393582373881765,0.007010126113891601,0.001219982185782918,,,4.0,2,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.026299095153808592,0.0006324807071738075,0.006019115447998047,0.0006839454732703785,,,4.0,5,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.026936960220336915,0.0021523245984711894,0.006978225708007812,0.0011553576342335859,,,4.0,10,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.030197525024414064,0.002753025428482434,0.007849407196044923,0.004923782496256753,,5,1.0,2,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.03149194717407226,0.00911030095673181,0.007461118698120117,0.0028388869678921676,,5,1.0,5,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.028852176666259766,0.0025431327306227936,0.005930709838867188,0.0008130603840109522,,5,1.0,10,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.030359363555908202,0.002459526027806649,0.006118345260620117,0.001037340200175423,,5,2.0,2,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,0.9984025559105432,1.0,0.9984045941167178,0.0024708029828688404,85,0.9996009577015164,0.9992019154030327,0.9992019154030327,0.9992022337455125,0.9992022337455125,0.9992818511997215,0.00015955331441353763,,
uci,Decision Tree,0.030132865905761717,0.0033554625152969735,0.006159448623657226,0.0010673725108876432,,5,2.0,5,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,0.9984025559105432,1.0,0.9984045941167178,0.0024708029828688404,85,0.9996009577015164,0.9992019154030327,0.9992019154030327,0.9992022337455125,0.9992022337455125,0.9992818511997215,0.00015955331441353763,,
uci,Decision Tree,0.027991867065429686,0.0026105990966689024,0.005950164794921875,0.0009078584840756071,,5,2.0,10,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,0.9984025559105432,1.0,0.9984045941167178,0.0024708029828688404,85,0.9996009577015164,0.9992019154030327,0.9992019154030327,0.9992022337455125,0.9992022337455125,0.9992818511997215,0.00015955331441353763,,
uci,Decision Tree,0.028767204284667967,0.004107318034969541,0.007448863983154297,0.0019250146308374455,,5,4.0,2,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.02859840393066406,0.001419372876609036,0.006776142120361328,0.001717431042087959,,5,4.0,5,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.026312923431396483,0.001685652702843371,0.0072381019592285155,0.0019636358166950922,,5,4.0,10,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.034186935424804686,0.004895430547754671,0.008012342453002929,0.002254571310964241,,10,1.0,2,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.029406404495239256,0.0014105083377770507,0.005372285842895508,0.0002567407898003371,,10,1.0,5,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.030157136917114257,0.0021847666894325396,0.0067044258117675785,0.0012947488207606312,,10,1.0,10,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.036031484603881836,0.013089077864875585,0.0065176963806152345,0.0015997736527922418,,10,2.0,2,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.03255057334899902,0.0013353800820423264,0.0054718017578125,0.00040307083624019444,,10,2.0,5,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.029462862014770507,0.0033437311629719393,0.010301685333251953,0.004907134720261048,,10,2.0,10,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.02885856628417969,0.005089700466476017,0.013562917709350586,0.014341559425593469,,10,4.0,2,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.027828073501586913,0.0022832842749869655,0.005538320541381836,0.00017979667185794766,,10,4.0,5,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.02990407943725586,0.002388284418979214,0.0073203563690185545,0.0016388496711005538,,10,4.0,10,"{'class_weight': None, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.036939048767089845,0.00559681465208583,0.006157445907592774,0.0009150605377593656,,15,1.0,2,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.03735089302062988,0.0051044173895884145,0.0062828540802001955,0.0005503515872389836,,15,1.0,5,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.03645768165588379,0.008039330898362434,0.005298089981079101,0.00035100836018609795,,15,1.0,10,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.0299468994140625,0.002131780965366627,0.005248832702636719,0.0004015743063179575,,15,2.0,2,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.03601970672607422,0.007985053261807476,0.007083320617675781,0.0018128654781746816,,15,2.0,5,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.02945675849914551,0.0010078041790568867,0.005528020858764649,0.0005571601607025873,,15,2.0,10,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.041874361038208005,0.021495632377400025,0.006674528121948242,0.0012965503003785784,,15,4.0,2,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.03352808952331543,0.005884705243708181,0.005915784835815429,0.0007964469554073316,,15,4.0,5,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.02910890579223633,0.0028097993660608036,0.006363344192504883,0.00176324304697157,,15,4.0,10,"{'class_weight': None, 'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.04200201034545899,0.01519740967909484,0.005797958374023438,0.00043553225380872537,,20,1.0,2,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.036997222900390626,0.0151820059375814,0.0058974742889404295,0.0010348664852707274,,20,1.0,5,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.05322895050048828,0.03228021121051996,0.006383562088012695,0.001477898180256054,,20,1.0,10,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.02887868881225586,0.003014225037071097,0.005500173568725586,0.00020134561791338413,,20,2.0,2,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.04983677864074707,0.03203338052509815,0.006308841705322266,0.002419597075918291,,20,2.0,5,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.041476774215698245,0.013119280481048202,0.0059223175048828125,0.00075847532657627,,20,2.0,10,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.06007261276245117,0.02906993355995384,0.007830381393432617,0.00141611984418946,,20,4.0,2,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.026599979400634764,0.0022000700788744913,0.008953714370727539,0.00586259055776031,,20,4.0,5,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.031401538848876955,0.007430517038609804,0.00572509765625,0.0007458026049733185,,20,4.0,10,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.045918846130371095,0.013638490838658618,0.008121776580810546,0.0032679524396488045,balanced,,1.0,2,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.044845294952392575,0.012326932204631791,0.006393718719482422,0.0010539084643221017,balanced,,1.0,5,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.03685140609741211,0.00554968122200035,0.005275535583496094,0.00040238443730847235,balanced,,1.0,10,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.03825879096984863,0.010318924333775209,0.006393861770629883,0.0010091100133331257,balanced,,2.0,2,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.039443159103393556,0.012240917305816855,0.005413722991943359,0.0006337105806007576,balanced,,2.0,5,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.04250011444091797,0.009214522665307973,0.009900236129760742,0.009129031902617896,balanced,,2.0,10,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.037070274353027344,0.005979285341307778,0.004974460601806641,0.0005967492842591684,balanced,,4.0,2,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.04098968505859375,0.012010501788392578,0.006222200393676758,0.0009458546653872505,balanced,,4.0,5,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.05165014266967773,0.02412887946062651,0.005258512496948242,0.0008058909176738968,balanced,,4.0,10,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.048044586181640626,0.013214620215005742,0.007691574096679687,0.003202747117227524,balanced,5,1.0,2,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.051519346237182614,0.02796578015234471,0.0140838623046875,0.016771964942873988,balanced,5,1.0,5,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
uci,Decision Tree,0.04560971260070801,0.01736007263281787,0.006724357604980469,0.0010861827353791675,balanced,5,1.0,10,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,0.9996009577015164,0.9996009577015164,0.9996011168727563,0.9996011168727563,0.999680829829709,0.0001595851010213099,,
